title,date,views,likes,comments,team_score,opponent_score
"DELE SCORING OFF THE FIELD WITH PEP GUARDIOLA'S DAUGHTER?, WILL SPURS BE IN EUROPE? EXPRESSIONS",2021-05-15,76933,3558,314,,
LADIES YOUR PUNANI IS NOT A GIFT CAN I HAVE A PLAYSTATION 5 INSTEAD?| THE EX FILES with EXPRESSIONS,2021-05-10,98772,7246,513,,
I NEVER THOUGHT THE SEASON COULD GET ANY WORSE!!! 🤬 Leeds (3) vs Tottenham (1) EXPRESSIONS REACTS,2021-05-08,171223,7849,1200,,
Leeds vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-05-08,143354,4617,377,,
"ARSE-NILL HAVE A BAD EBENING OUT OF EUROPA, CANCEL EX?, LEEDS TO HOLD THE SWORD LIKE DREW MCINTYRE!",2021-05-07,68128,4246,420,,
GARETH WALES PUT SHEFFIELD IN A SPLIFF |Tottenham vs Sheffield United 4-0  EXPRESSIONS @SAEEDTV,2021-05-02,61420,3295,264,0.0,4.0
Tottenham vs Sheffield United LIVE WITH EXPRESSIONS @Saeed TV,2021-05-02,92617,3042,56,,
MANAGERS REJECTING TOTTENHAM?? WE ARE IN TROUBLE!! WHERE DO WE GO FROM HERE? ! EXPRESSIONS REACTS,2021-05-01,97289,4385,572,,
ANOTHER DIABOLICAL PERFORMANCE IN A FINAL WITH NO GOALS 🤬! Man City vs Tottenham 1-0 EXPRESSIONS,2021-04-25,174240,6985,1443,1.0,0.0
Manchester City vs Tottenham Carabao Cup Final LIVE WITH EXPRESSIONS,2021-04-25,206423,7085,555,,
CAN SPURS WIN THE CARABAO CUP? WE NEED A MIRACLE!| Tottenham vs Man City EXPRESSIONS REACTS,2021-04-24,38853,2240,325,,
FINALLY A WIN BUT WE NEED A MIRACLE AGAINST MAN CITY!😳|Tottenham (2) vs Southampton (1) EXPRESSIONS,2021-04-21,60287,3175,276,,
Tottenham vs Southampton LIVE With EXPRESSIONS OOZING,2021-04-21,115767,3590,119,,
"Jose Mourinho SACKED at Tottenham, European Super League = RIP to Football| EXPRESSIONS REACTS",2021-04-19,170112,8445,1252,,
ENOUGH! WE ARE ABSOLUTELY FINISHED BRUCE JENNA COULDN'T TURN THIS AROUND. Everton (2) vs Spurs (2),2021-04-16,144240,5951,806,,
Everton vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-04-16,139149,4212,199,,
"DELE INSTA LIVE MOURINHO OUT? KANE NEEDS CHAMPIONS LEAGUE, CAN WE BEAT EVERTON? EXPRESSIONS REACTS",2021-04-15,88743,3347,277,,
SEASON OVER!!! WE ARE FINISHED PLAYERS MANAGER EVERYTHING 🤬! | Spurs (1) vs Man U (3) EXPRESSIONS,2021-04-11,193729,7010,1063,,
Tottenham vs Manchester United LIVE With EXPRESSIONS OOZING,2021-04-11,183582,4861,573,,
IT KICKED OFF ONCE AGAIN!!! Tottenham vs Manchester United MATCH PREVIEW EXPRESSIONS VS @Saeed TV,2021-04-09,61387,2515,237,,
TOP 4 OVER BEFORE IF IT EVEN STARTED ITS ALWAYS THE SAME🤬Newcastle (2) vs Tottenham (2) EXPRESSIONS,2021-04-04,129963,5420,700,,
ITS ALWAYS THE SAME OLD 🤬🤬Newcastle (2) vs Tottenham (2) with EXPRESSIONS OOZING,2021-04-04,128178,4058,485,,
WE WERE ROBBED AND CHEATED I WANT REVENGE AND A TOP 4 FINISH| Newcastle vs Tottenham EXPRESSIONS,2021-04-03,39484,1633,158,,
GARETH BALE RETURNED TO SPURS FOR TRAINING??😳 WILL HARRY KANE  LEAVE? EXPRESSIONS REACTS,2021-03-25,95196,4498,505,,
EX RATED WITH SOPHIE ROSE - 10 THINGS THE STREETS WANT TO KNOW! EXPRESSIONS + @Sophie Rose World 18+,2021-03-24,225025,8878,974,,
