title,date,views,likes,comments
ANTONIO CONTE TO TOTTTENHAM? LEVY WILL END UP DELIVERING US ANTONIO BANDERAS INSTEAD😑😔| EXPRESSIONS,2021-06-04T16:30:07Z,75110,3467,343
WE NEED TO SELL THEM ALL🤬 I HAVE HAD ENOUGH! Tottenham Hotspur CLEAR OUT with EXPRESSIONS OOZING,2021-06-01T13:07:14Z,104598,5362,631
MAURICIO POCHETTINO RETURNING TO TOTTENHAM?? EXPRESSIONS REACTS,2021-05-28T10:49:54Z,86356,3797,480
"WE WIN AND LOSE AT THE SAME TIME, WORST LUCK EVER 🤬!! Leicester vs Tottenham 2-4 EXPRESSIONS REACTS",2021-05-23T18:39:59Z,122135,5576,870
Leicester City vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-05-23T17:18:02Z,106518,3166,202
NUNO TO TOTTENHAM? HARRY KANE TO CITY?😭 CONFERENCE LEAGUE? 🤬 WE ARE FINISHED!| EXPRESSIONS REACTS,2021-05-22T12:43:20Z,82402,3580,552
BEYOND EMBARRASSING WE WON’T MAKE EUROPA LEAGUE!! 🤬 Tottenham (1) vs Aston Villa (2) EXPRESSIONS,2021-05-19T19:58:00Z,178173,7930,1151
THE FINAL STRAW 🤬🤬 Tottenham (1) vs Aston Villa (2) LIVE WITH EXPRESSIONS OOZING,2021-05-19T19:09:10Z,143868,3693,326
HARRY KANE LEAVING TOTTENHAM? EXPRESSIONS REACTS,2021-05-18T09:59:35Z,145696,6302,987
DELE PERFORMS TWICE IN A WEEK ON AND OFF THE FIELD PEP IS FUMING!| Spurs vs Wolves 2-0 EXPRESSIONS,2021-05-16T16:17:07Z,42378,2129,193
Tottenham (2) vs Wolves (0) LIVE WITH EXPRESSIONS OOZING,2021-05-16T15:03:15Z,58839,2043,39
"DELE SCORING OFF THE FIELD WITH PEP GUARDIOLA'S DAUGHTER?, WILL SPURS BE IN EUROPE? EXPRESSIONS",2021-05-15T12:54:29Z,76933,3558,314
LADIES YOUR PUNANI IS NOT A GIFT CAN I HAVE A PLAYSTATION 5 INSTEAD?| THE EX FILES with EXPRESSIONS,2021-05-10T14:00:06Z,98772,7246,513
I NEVER THOUGHT THE SEASON COULD GET ANY WORSE!!! 🤬 Leeds (3) vs Tottenham (1) EXPRESSIONS REACTS,2021-05-08T14:17:32Z,171223,7849,1200
Leeds vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-05-08T13:32:57Z,143354,4617,377
"ARSE-NILL HAVE A BAD EBENING OUT OF EUROPA, CANCEL EX?, LEEDS TO HOLD THE SWORD LIKE DREW MCINTYRE!",2021-05-07T08:00:03Z,68128,4246,420
GARETH WALES PUT SHEFFIELD IN A SPLIFF |Tottenham vs Sheffield United 4-0  EXPRESSIONS @SAEEDTV,2021-05-02T21:01:23Z,61420,3295,264
Tottenham vs Sheffield United LIVE WITH EXPRESSIONS @Saeed TV,2021-05-02T20:20:29Z,92617,3042,56
MANAGERS REJECTING TOTTENHAM?? WE ARE IN TROUBLE!! WHERE DO WE GO FROM HERE? ! EXPRESSIONS REACTS,2021-05-01T14:15:32Z,97289,4385,572
ANOTHER DIABOLICAL PERFORMANCE IN A FINAL WITH NO GOALS 🤬! Man City vs Tottenham 1-0 EXPRESSIONS,2021-04-25T18:25:30Z,174240,6985,1443
Manchester City vs Tottenham Carabao Cup Final LIVE WITH EXPRESSIONS,2021-04-25T17:37:41Z,206423,7085,555
CAN SPURS WIN THE CARABAO CUP? WE NEED A MIRACLE!| Tottenham vs Man City EXPRESSIONS REACTS,2021-04-24T09:00:14Z,38853,2240,325
FINALLY A WIN BUT WE NEED A MIRACLE AGAINST MAN CITY!😳|Tottenham (2) vs Southampton (1) EXPRESSIONS,2021-04-21T20:40:34Z,60287,3175,276
Tottenham vs Southampton LIVE With EXPRESSIONS OOZING,2021-04-21T19:09:31Z,115767,3590,119
"Jose Mourinho SACKED at Tottenham, European Super League = RIP to Football| EXPRESSIONS REACTS",2021-04-19T10:43:22Z,170112,8445,1252
ENOUGH! WE ARE ABSOLUTELY FINISHED BRUCE JENNA COULDN'T TURN THIS AROUND. Everton (2) vs Spurs (2),2021-04-16T22:50:32Z,144240,5951,806
Everton vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-04-16T21:07:24Z,139149,4212,199
"DELE INSTA LIVE MOURINHO OUT? KANE NEEDS CHAMPIONS LEAGUE, CAN WE BEAT EVERTON? EXPRESSIONS REACTS",2021-04-15T11:30:10Z,88743,3347,277
SEASON OVER!!! WE ARE FINISHED PLAYERS MANAGER EVERYTHING 🤬! | Spurs (1) vs Man U (3) EXPRESSIONS,2021-04-11T19:05:26Z,193729,7010,1063
Tottenham vs Manchester United LIVE With EXPRESSIONS OOZING,2021-04-11T17:52:14Z,183582,4861,573
IT KICKED OFF ONCE AGAIN!!! Tottenham vs Manchester United MATCH PREVIEW EXPRESSIONS VS @Saeed TV,2021-04-09T11:00:03Z,61387,2515,237
TOP 4 OVER BEFORE IF IT EVEN STARTED ITS ALWAYS THE SAME🤬Newcastle (2) vs Tottenham (2) EXPRESSIONS,2021-04-04T16:08:35Z,129963,5420,700
