title,date,views,likes,comments,team_score,opponent_score
TEN HAG WAITING ON UNITED! Man Utd News,2022-03-27,157628,4897,376.0,,
UNITED Face Transfer Snub! POCH Waiting Game! Man Utd News,2022-03-26,127282,3547,364.0,,
UNITED Lose NUNES Transfer To ARSENAL? TEN HAG latest!  Man Utd News,2022-03-26,135982,3628,353.0,,
TEN HAG NEW Job Offer! UNITED Must Choose! Man Utd News,2022-03-25,156340,4197,253.0,,
RANGNICK Wants TEN HAG! Man Utd News,2022-03-25,102324,3265,203.0,,
TEN HAG or POCH Deal Could Take Weeks! Man Utd News,2022-03-25,96073,3104,316.0,,
Ten Hag Manager Next Week? Man Utd News,2022-03-24,95574,2372,101.0,,
The Perfect STRIKER for Man Utd! Man Utd News,2022-03-24,122397,3854,340.0,,
RICE Transfer Hope! CB Deal Close? Man Utd News,2022-03-24,126544,3754,419.0,,
TEN HAG Wanted By 2 CLUBS! BRUNO New Deal! Man Utd News,2022-03-23,178017,4831,294.0,,
POCHETTINO Tactics Explained! Man Utd News,2022-03-23,76141,2566,181.0,,
TEN HAG Interviewed for UNITED JOB! Man Utd News,2022-03-23,189748,6348,469.0,,
