title,date,views,likes,comments,team_score,opponent_score
Arsenal Make Offer For Yannick Carrasco As Seven Leave In Clear Out! | AFTV Transfer Daily,2019-06-08,221844,4292.0,1556,,
It’s Not Just Kroenke’s Fault | All Gunz Blazing Podcast ft DT,2019-06-07,251136,4344.0,1508,,
Arsenal Close To Signing Sampdoria Duo & Bid Made For Alexis! | AFTV Transfer Daily,2019-06-07,177156,3394.0,1183,,
Are Arsenal Back In For Carrasco? Plus Kolašinac Wanted By Barcelona! | AFTV Transfer Daily,2019-06-06,142939,3429.0,1489,,
Upamecano or Umtiti? Arsenal Target Quality CB's | AFTV Transfer Daily,2019-06-05,129122,2779.0,1552,,
Do Arsenal Fans Have A Right To Mock Tottenham For Losing To Liverpool? | Claude & Ty Show,2019-06-04,163519,3153.0,1459,,
This Week Is Crunch Time For Mesut Ozil! | AFTV Transfer Daily,2019-06-03,184076,3608.0,1843,,
Arsenal Want Boateng or Umtiti To Fix Defence! | AFTV Transfer Daily,2019-06-02,195356,4389.0,1753,,
A Massive Summer Transfer Window For Arsenal | AFTV Transfer Daily,2019-06-01,226382,5031.0,1870,,
Arsenal 1-4 Chelsea | Final Day Vlog | 2600 Miles In Vain!,2019-05-31,346434,6007.0,1078,1.0,4.0
Arsenal 1-4 Chelsea Player Ratings | Another Dreadful Away Day Performance (Ft DT & Troopz),2019-05-30,2054917,31482.0,3999,1.0,4.0
Arsenal 1-4 Chelsea | We Don't Deserve Champions League Football!,2019-05-30,147194,2042.0,435,1.0,4.0
Arsenal 1-4 Chelsea | Ozil Has No Passion For Arsenal!,2019-05-30,198462,2789.0,730,1.0,4.0
Arsenal 1-4 Chelsea | I Flew All The Way From Australia For Our Players To Show No Fight!,2019-05-30,110518,1797.0,313,1.0,4.0
Arsenal 1-4 Chelsea | We Should Have Never Sold Giroud!!,2019-05-30,216519,2862.0,770,1.0,4.0
Arsenal 1-4 Chelsea | If You Don't Close Down Hazard He Makes You Pay!!,2019-05-30,265526,3925.0,714,1.0,4.0
Arsenal 1-4 Chelsea | Ozil Is Miles Off Hazard's Level!,2019-05-30,202818,3842.0,707,1.0,4.0
Arsenal 1-4 Chelsea | The Players Should Refund Every Fan ( Emotional Troopz),2019-05-29,1574820,30110.0,4983,1.0,4.0
Arsenal 1-4 Chelsea | There Are Too Many Week Minded Bottle Jobs At Our Club (DT),2019-05-29,2322373,49114.0,8046,1.0,4.0
Arsenal 1-4 Chelsea | We Capitulated After Giroud Scored!,2019-05-29,142879,2206.0,833,1.0,4.0
Arsenal v Chelsea Starting Line Up LIVE FROM BAKU,2019-05-29,216149,2668.0,1551,,
"Arsenal v Chelsea | There Are More Arsenal Fans, They’ll Be The 12th Man!",2019-05-29,43089,744.0,221,,
Arsenal v Chelsea | DT Gives His Preferred Starting 11 (Leno Or Cech?),2019-05-29,149060,3215.0,666,,
Arsenal v Chelsea | From Baghdad With Love! (Iraqi Gooners),2019-05-29,24019,691.0,103,,
"Arsenal v Chelsea | Sarri’s On A Madness, Sparking Up Benson’s! (Troopz)",2019-05-29,96527,2200.0,577,,
Arsenal v Chelsea | Azerbaijan Gooner Overjoyed That The Final Is Taking Place In BAKU!,2019-05-29,49336,1292.0,265,,
Arsenal v Chelsea | It’s Arsenal’s Biggest Game in a Decade! (DT),2019-05-28,303132,6142.0,1284,,
"There Are Gooners Everywhere, I Haven't Seen Any Chelsea Fans! (Troopz)",2019-05-28,157430,3800.0,445,,
Arsenal v Chelsea | Arsenal Fans From All Over The World Are Here In BAKU!,2019-05-28,45860,1384.0,222,,
Arsenal vs Chelsea Europa League Preview (ft 100 Pct Chelsea) | Is It A Bigger Game For The Gunners?,2019-05-27,114330,2545.0,477,,
Auba & Laca Can Bring The Trophy Home! | Biased Europa League Preview,2019-05-26,140587,3262.0,613,,
I'm A Mad Gooner! | Arsenal Will Win The Europa League! | Ft Glenn & Lumos,2019-05-26,22539,637.0,155,,
Cech Or Leno? | Arsenal v Chelsea Europa League Preview | Tactical Insight | 6 Days To Baku,2019-05-23,117892,2323.0,738,,
New Arsenal Adidas Kit Leaked!! | Robbie Reacts New Home & Away Shirts,2019-05-23,192363,4435.0,954,,
10 Fun Facts About Azerbaijan! Ft Lumos | 7 Days To Baku,2019-05-22,25610,682.0,211,,
